calcium,high_energy,low_energy
25,57.635079240577454,70.96734708857274
50,88.93874118226256,114.31555079801899
100,150.3404718902539,197.7553979283775
150,210.93905576913056,285.2868941936138
200,272.84245705325316,367.6122200367048
250,333.1119358148516,450.5740037064003
300,393.69854402433265,534.3272974972529
350,453.07823443479,614.9098862045356
400,512.3250324764673,698.1120387421614
450,571.039513163705,779.8639619619443
500,630.9494745600589,861.0607654892904
550,688.8286661500763,940.7613812128227
600,746.3008194725518,1020.5877239834482
650,804.9429586523219,1101.129803863615
750,919.1810621693022,1259.6518951963506
800,976.7265735611139,1338.3790042130736
