calcium,high_energy,low_energy
25,57.2803867710118,70.32426062214185
50,88.7215883969875,114.85183948888672
100,152.4072008137553,200.1438760479791
150,214.99805290216756,286.41005452546665
200,278.1555366239066,371.7530001297727
250,340.1518082941134,456.7557690595823
300,401.0929635383948,539.9306299019568
350,461.745946537002,624.3665108956807
400,523.6999389389601,708.4219739021515
450,583.1681685796085,789.5656952843128
500,642.9310281108257,871.9504058767321
550,702.7319953656197,953.8737672364057
600,763.5799622410669,1034.264902924788
650,821.2858226742442,1115.280320518259
750,939.0947612310644,1276.9631445012833
800,996.7328788379807,1355.6784410432645
