calcium,high_energy,low_energy
25,55.53386470355823,69.46801871447543
50,88.87551436897392,114.67287773360468
100,153.13464567191565,201.36275568323154
150,217.60177142041823,288.9679388778045
200,282.77547007298256,377.05827065188913
250,344.35440496421324,462.91015573228987
300,408.4141033229781,547.4928582337362
350,471.28358631439414,633.2906111731311
400,533.9927586990144,716.5896064703321
450,595.423084835604,801.5529629926032
500,656.2613270085748,884.1154608708923
550,717.7633909556703,968.4544106810334
600,778.2067937976899,1048.904726523352
650,839.2760187011742,1129.2494085746375
750,959.083234240802,1292.5715631190353
800,1018.9191696044122,1373.9160487739687
